Business Name,Type,Location,Distance_from_Durban_km,Rating,Reviews,Description,Business_Category
Kamel Potteries,Pottery Manufacturer/Supplier,"Springfield Park, Durban",11.8,,,Foremost supplier in South Africa for ceramic arts & crafts industry,Manufacturing/Supply
Craft Concept,Craft Store,Durban,11.8,4.3,470.0,Huge variety and very friendly staff,Retail
Muddy Fingers Pottery,Art Center/Pottery Studio,Durban,21.2,5.0,7.0,Fantastic way to be creative and therapeutic,Studio/Teaching
The Pottery Ballito Lifestyle Centre,Pottery Store,Ballito,29.6,4.3,114.0,Painting pottery while enjoying waffles and smoothies,Entertainment/Retail
The Craft Shed,Scrapbooking Store,Ballito,35.0,4.5,4.0,Wonderful people and very willing to give advice,Retail
Natal Art Craft Industrie,Picture Frame Shop,Durban,12.5,4.4,9.0,"Extensive range, good prices and friendly service",Retail
Jay9 Creations,Craft Store,Durban,3.8,4.7,22.0,Scrapbooking addict - they have everything,Retail
Studio 3,Pottery Manufacturer,Kloof,22.2,5.0,1.0,Pottery manufacturer,Manufacturing
Ceramic Craft Studio,Craft Store,"Northdene, Durban",20.3,4.6,188.0,Always prepared to give advice and has stunning stuff,Manufacturing/Retail
"Imagine That Arts, Crafts & hobbies supply",Art Supply Store,Durban North,3.3,4.4,154.0,Quality products for really affordable prices,Retail
Paint a Pot,Scrapbooking Store,Durban North,2.7,4.7,7.0,Thank you guys....we totally enjoyed our creative time,Entertainment/Retail
DAZ Arts and Ceramics,Art Supply Store,Durban,37.1,5.0,2.0,In-store pick-up,Retail
Xrazi Art,Hobby Store,Bluff,17.2,4.9,31.0,Well stocked - Helpful staff - great selection,Retail
Artworx Craft Shop,Craft Store,Ballito,29.7,4.9,13.0,Great vibe for creativity and art supplies,Retail
Craft House,Art Supply Store,Pinetown,20.3,4.4,19.0,Great range of art and craft supplies and helpful staff,Retail
Nela Kahle Art and Crafts,Craft Store,Durban,11.2,4.9,15.0,"I've learned many things, beading and different designs",Retail/Teaching
Village Hardware Art & Crafts,Hardware Store,Durban,11.8,4.4,161.0,"Really informed staff, well stocked retailer at very good prices",Hardware/Retail
Supernova Studio,Hobby Store,Durban,16.6,4.9,16.0,Fantastic service and fabulous products,Retail
Arts Unity,Art Dealer,Durban,11.8,3.9,75.0,Also a great turnaround time with their products,Retail
Create Ceramics Umhlanga,Ceramic Studio,Umhlanga,15.0,,,Unleash your creativity at Create Ceramics,Studio/Entertainment
